stratum_type,stratum,fields,n,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score,mode_sparse_canonical_count,mode_sparse_canonical_pct,sparse_canonical_identity_count,sparse_canonical_identity_pct,no_visible_social_arena_count,no_visible_social_arena_pct
period_language_bookgroup,period=1550-1599 | language_first=FRENCH | elements_books_group=unknown_books,period + language_first + elements_books_group,3,2.67,1.33,8.67,5.73,1,33.3,0,0.0,2,66.7
period_language_bookgroup,period=1600-1649 | language_first=LATIN | elements_books_group=selected_later_books,period + language_first + elements_books_group,3,2.67,0.33,9.33,4.87,1,33.3,0,0.0,2,66.7
period_language_bookgroup,period=1650-1699 | language_first=DUTCH | elements_books_group=books_1_6,period + language_first + elements_books_group,3,6.33,0.67,12.33,9.47,1,33.3,0,0.0,1,33.3
period_language_bookgroup,period=1650-1699 | language_first=FRENCH | elements_books_group=books_1_6,period + language_first + elements_books_group,3,0.67,0.0,7.0,2.07,1,33.3,0,0.0,3,100.0
period_language_bookgroup,period=pre-1550 | language_first=LATIN | elements_books_group=books_1_6,period + language_first + elements_books_group,3,4.33,1.0,14.33,8.2,1,33.3,0,0.0,1,33.3
period_language_format,period=1600-1649 | language_first=LATIN | format_group=quarto,period + language_first + format_group,7,2.71,1.0,10.0,5.71,2,28.6,0,0.0,3,42.9
period_language,period=1700+ | language_first=LATIN,period + language_first,11,3.91,1.55,10.91,7.64,3,27.3,2,18.2,4,36.4
period_language,period=pre-1550 | language_first=LATIN,period + language_first,28,3.11,0.79,10.0,5.89,7,25.0,5,17.9,16,57.1
language_format,language_first=GREEK | format_group=octavo,language_first + format_group,8,3.38,0.88,11.0,6.45,2,25.0,0,0.0,4,50.0
language_format,language_first=ENGLISH | format_group=quarto,language_first + format_group,4,4.25,2.0,10.5,8.35,1,25.0,1,25.0,1,25.0
language_format,language_first=LATIN | format_group=6,language_first + format_group,4,3.0,0.25,10.0,5.25,1,25.0,0,0.0,3,75.0
