classification_key,year,city,language,primary_classes,base_content,elements_designation,references_to_euclid
Strasbourg_1599,1599,Strasbourg,LATIN,Theoretical Mathematics,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΠΡΩΤΟΝ | EVCLIDIS ELE- MENTVM primum,EVCLIDIS ELE- MENTVM primum,ΕΥΚΛΕΙΔΟΥ | EVCLIDIS
TJONV6,1585,Paris,FRENCH,Arithmetic,L'ARITHMETIQVE DE GEMME PHRISON,,
TMVVZN,1584,Milan,ITALIAN,,TRATTATO DELL'ARTE DE LA PITTVRA,,
TTORPR,1528,Vienna,LATIN,,"ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria","ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria",EV- clidis
The_Hague_1758,1758,The Hague,FRENCH,Theoretical Mathematics,LES SIX PREMIERS LIVRES D’EUCLIDE,ELEMENS DE   GEOMETRIE,D’EUCLIDE
UEIZFO,1565,Paris,FRENCH,Arithmetic,ARITHMETIQVE,,
Uppsala_1741,1741,Uppsala,LATIN,Theoretical Mathematics,EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES,EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES,EUCLIDIS
Uppsala_1744,1744,Uppsala,SWEDISH,Theoretical Mathematics,EUCLIDIS ELEMENTA,EUCLIDIS ELEMENTA,EUCLIDIS
Valencia_1569,1569,Valencia,LATIN,Theoretical Mathematics,"ELEMENTA Arithmeticæ, ac GEOMETRIÆ","ELEMENTA Arithmeticæ, ac GEOMETRIÆ",Euclide
Venice_1498,1498,Venice,LATIN,Theoretical Mathematics,Euclidis quartus decimus elementorum,Euclidis quartus decimus elementorum,Euclidis | euclidis
