author_canonical,geographic_reach_type,matched_edition_count,any_practical,majority_practical,practical_share,any_books_1_6_or_solids,majority_books_1_6_or_solids,books_1_6_or_solids_share,any_vernacular_non_latin,majority_vernacular_non_latin,vernacular_non_latin_share,any_small_format_8_or_smaller,majority_small_format_8_or_smaller,small_format_8_or_smaller_share,any_large_format_folio_quarto,majority_large_format_folio_quarto,large_format_folio_quarto_share,any_institution,majority_institution,institution_share,any_jesuit,majority_jesuit,jesuit_share,any_pedagogy_access,majority_pedagogy_access,pedagogy_access_share,any_method_order,majority_method_order,method_order_share,any_augmentation,majority_augmentation,augmentation_share,any_restoration_ancient,majority_restoration_ancient,restoration_ancient_share,any_correction,majority_correction,correction_share,any_visual_aids,majority_visual_aids,visual_aids_share
Oronce Finé,single_city,2,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,0.5,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0
Pierre de Montdoré,single_city,2,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Pierre de la Ramée,single_city,2,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Pietro Paolo Caravaggi,single_city,2,False,False,0.0,True,True,1.0,True,True,1.0,True,True,0.5,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Sebastián Fernández de Medrano,single_city,2,True,True,1.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,0.5,False,False,0.0,True,True,0.5,True,True,0.5,True,True,0.5,True,True,1.0,False,False,0.0,False,False,0.0
"Albrecht Dürer, Joachim Camerarius",single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
Ambrosius Lacher,single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
"André Tacquet, William Whiston",single_city,1,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0
Antoine Arnauld,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0
"Antonio de Nájera, Juan de la Rocha",single_city,1,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Bernard Lamy,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Christian Herlin,single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
Christoph Meurer,single_city,1,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",single_city,1,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0
Claas Janszen Vooght,single_city,1,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
